Output Areas Code,Output Areas,Observation
E00021086,E00021086,8392.2
E00021087,E00021087,8100
E00021088,E00021088,4079.7
E00021089,E00021089,14221.5
E00021090,E00021090,10564.8
E00021091,E00021091,10878.4
E00021092,E00021092,16443
E00021094,E00021094,4546.7
E00021095,E00021095,7638.5
E00021096,E00021096,11775.7
E00021097,E00021097,11152.1
E00021098,E00021098,10602.4
E00021099,E00021099,7818.6
E00021100,E00021100,9938.5
E00021101,E00021101,15137
E00021102,E00021102,7641.2
E00021103,E00021103,9726.6
E00021105,E00021105,9832.2
E00021106,E00021106,8871.8
E00021107,E00021107,7890.5
E00021109,E00021109,8346.9
E00021110,E00021110,11441.4
E00021111,E00021111,4696.4
E00021112,E00021112,6903.1
E00021113,E00021113,7488.3
E00021114,E00021114,4875.7
E00021115,E00021115,5129.2
E00021116,E00021116,4783.3
E00021117,E00021117,6305.1
E00021118,E00021118,5996.9
E00021119,E00021119,8250
E00021120,E00021120,9596.2
E00021121,E00021121,9460.2
E00021122,E00021122,2079.5
E00021123,E00021123,9063.7
E00021124,E00021124,9362.3
E00021125,E00021125,8307.7
E00021126,E00021126,7745.5
E00021127,E00021127,4498.5
E00021128,E00021128,6781.6
E00021129,E00021129,8500
E00021130,E00021130,11250
E00021131,E00021131,10035.3
E00021132,E00021132,9292
E00021133,E00021133,6437.3
E00021134,E00021134,10000
E00021135,E00021135,8590.9
E00021136,E00021136,7125
E00021137,E00021137,7519.1
E00021138,E00021138,6717.3
E00021139,E00021139,9500
E00021140,E00021140,5943.7
E00165852,E00165852,2475.2
E00166816,E00166816,11884.8
E00166817,E00166817,5129.7
E00166818,E00166818,7678.3
E00166819,E00166819,10776.3
E00166820,E00166820,7871.4
E00166821,E00166821,863.2
E00166823,E00166823,2809.4
E00166824,E00166824,19096.4
E00166825,E00166825,7213.1
E00166826,E00166826,9255.3
E00180954,E00180954,23632.1
E00180957,E00180957,1423.1
E00180958,E00180958,6725.1
E00180960,E00180960,5091.5
E00180961,E00180961,21789.5
E00180964,E00180964,8652
E00180971,E00180971,1968.8
E00180975,E00180975,3288.9
E00180985,E00180985,15112.5
E00180992,E00180992,11856
E00180993,E00180993,31212.1
E00181001,E00181001,9624.7
E00181002,E00181002,7053.6
E00181004,E00181004,17346.9
E00181006,E00181006,10919.8
E00181014,E00181014,13310.3
E00181016,E00181016,5220.9
E00181019,E00181019,34697
E00181020,E00181020,8888.9
E00181023,E00181023,7240.7
E00181024,E00181024,7840.9
E00181030,E00181030,5330.4
E00181032,E00181032,15760.9
E00181037,E00181037,15151.5
E00181038,E00181038,24464.3
E00181040,E00181040,26602.6
E00181042,E00181042,27812.5
